epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.359875202178955,0.6942288875579834,0.5210828185081482,0.5141128897666931
2,0.6941325664520264,0.6932405829429626,0.5049276351928711,0.5037802457809448
3,0.6933048963546753,0.6931688189506531,0.49688124656677246,0.49823588132858276
4,0.6932333111763,0.6931279897689819,0.49937623739242554,0.5032762289047241
5,0.6932128667831421,0.6931482553482056,0.49912673234939575,0.4984878897666931
6,0.6932119131088257,0.6931300759315491,0.49862775206565857,0.5042842626571655
7,0.6932125091552734,0.6931465268135071,0.4973178505897522,0.5068044066429138
8,0.693209707736969,0.693157434463501,0.5004990100860596,0.5010080933570862
9,0.6931883096694946,0.6930898427963257,0.5014346241950989,0.5075604915618896
10,0.6931781768798828,0.6931389570236206,0.49981287121772766,0.5022681355476379
11,0.6931715607643127,0.6931596398353577,0.5006237626075745,0.49722781777381897
12,0.6931777596473694,0.6931804418563843,0.49900200963020325,0.49495968222618103
13,0.6931754946708679,0.6931714415550232,0.49631986021995544,0.48941531777381897
14,0.6931599974632263,0.6931601166725159,0.5020583868026733,0.49873992800712585
